Titre,Type_relation,Concept_of_type_relation,Clean_Paragraphe,Bart Summary,Keywords,Synonyms,Process_name,MOST RELEVANT,figures
plan risk management,part of,project management,plan risk management is the process of dening how to conduct risk management activities for a project the key benet of this process is that it ensures that the degree type and visibility of risk management are proportionate to both risks and the importance of the project to the organization and other stakeholders this process is performed once or at predened points in the project the inputs tools and techniques and outputs of the process are depicted in figure figure depicts the data ow diagram for the process tools techniques inputs outputs plan risk management expert judgment data analysis stakeholder analysis meetings project charter project management plan all components project documents stakeholder register enterprise environmental factors organizational process assets risk management plan project charter plan risk management enterprise organization develop project charter project charter project documents stakeholder register enterprise environmental factors organizational process assets project management plan project management plan all components project management plan project documents risk management plan the plan risk management process should begin when a project is conceived and should be completed early in the project it may be necessary to revisit this process later in the project life cycle for example at a major phase change or if the project scope changes signicantly or if a subsequent review of risk management effectiveness determines that the project risk management process requires modication,"Plan Risk Management is the process of deﬁning how to conduct risk management activities for a project. It ensures that the degree, type, and visibility of risk management are proportionate to both risks and the importance of the project to the organization and other stakeholders. This process is performed once or at prede ﬁned points in the project. The inputs, tools and techniques, and outputs of the process are depicted in Figure 11-2.",['project risk management' 'risk management process' 'plan risk management' 'risk management activities' 'plan project management' ],"project management plan, enterprise environmental factors, organizational process assets, meetings, risk management plan, identify risks, organizational process assets, prompt lists, meetings, risk register, risk report, perform qualitative risk analysis, project management plan, project documents updates, perform quantitative risk analysis, project management plan, project documents, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, expert judgment, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, change requests, monitor risks, project documents, audits, change requests, project management plan updates",affect plan,"management, project, plan, process, charter, risk, stakeholder, enterprise, document, depict","['https://i.ibb.co/1sdXKn6/page-8.png', 'https://i.ibb.co/LNdgJyg/page-7.png']"
project management plan,has part,project risk,should be taken into consideration in order to make the risk management plan consistent with them the methodology outlined in other project management plan components might inuence the plan risk management process,should be taken into consideration in order to make the risk management plan consistent with them. The methodology outlined in other project management plan components might inﬂuence the Plan Risk Management process.,['plan risk management' 'risk management plan' 'risk management process' 'make risk management' 'project management plan' ],"meetings, risk management plan, identify risks, project management plan, project documents, prompt lists, meetings, risk register, perform qualitative risk analysis, project management plan, project documents, data analysis, meetings, project documents updates, perform quantitative risk analysis, project documents, data analysis, plan risk responses, project management plan, project documents, strategies for threats, strategies for overall project risk, data analysis, decision making, project documents updates, implement risk responses, project management plan, project documents, project documents updates, audits, project documents, procurement documentation, data gathering, data analysis, interpersonal and team skills, meetings, risk register, project documents updates, project management plan, project documents, enterprise environmental factors, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, project management plan, project documents, data gathering, data analysis, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, interpersonal and team skills, project documents updates, project management plan, project documents, data analysis, audits, meetings, change requests, project documents, data analysis, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, interpersonal and team skills, strategies for threats, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, change requests, project documents updates, monitor risks, project documents, data analysis, audits, meetings, change requests, project management plan updates, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, organizational process assets, strategies for threats, strategies for opportunities, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, project management information system (pmis), change requests, project documents updates, project documents, data analysis, audits, meetings, change requests, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, monitor risks, project management plan, project documents, data analysis, audits, meetings, change requests, project documents, organizational process assets, project management information system (pmis), change requests, project documents updates, monitor risks, project documents, data analysis, audits, meetings, change requests, project management plan updates",affect plan,"management, plan, outline, consistent, consideration, methodology, make, component, order, inuence",[]
project ocuments,part of,project life cycle,project documents that can be considered as inputs for this process include but are not limited to the stakeholder register as described in section the stakeholder register contains details of the projects stakeholders and provides an overview of their project roles and their attitude toward risk on this project this is useful in determining roles and responsibilities for managing risk on the project as well as setting risk thresholds for the project,Project documents that can be considered as inputs for this process include but are not limited to the stakeholder register as described in Section 13.1.3. The stakeholder register contains details of the project’s stakeholders and provides an overview of their project roles and their attitude toward risk on this project.,['stakeholder register described' 'project stakeholders provides' 'details project stakeholders' 'section stakeholder' 'risk project setting' ],"expert judgment, data analysis, meetings, risk management plan, project documents, procurement documentation, expert judgment, data gathering, data analysis, interpersonal and team skills, risk register, risk report, project documents updates, project documents, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, project documents, expert judgment, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project documents, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, decision making, project management plan updates, project documents updates, project management plan, project documents, project documents updates, project documents, data analysis, meetings, work performance information, procurement documentation, expert judgment, data gathering, data analysis, interpersonal and team skills, prompt lists, meetings, risk register, risk report, project documents updates, perform qualitative risk analysis, project management plan, project documents, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, enterprise environmental factors, organizational process assets, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project management plan, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, monitor risks, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, monitor risks, project management plan, project documents, work performance reports, data analysis, audits, meetings, work performance information, change requests, project management plan updates, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, data analysis, audits, meetings, work performance information, change requests, project management plan updates",project risk,"project, stakeholder, role, overview, register, attitude, risk, contain, threshold, set",[]
meetings,part of,projects risk management plan,the risk management plan may be developed as part of the project kickoff meeting or a specic planning meeting may be held attendees may include the project manager selected project team members key stakeholders or team members who are responsible to manage the risk management process on the project others outside the organization may also be invited as needed including customers sellers and regulators a skilled facilitator can help participants remain focused on the task agree on key aspects of the risk approach identify and overcome sources of bias and resolve any disagreements that may arise plans for conducting risk management activities are dened in these meetings and documented in the risk,"The risk management plan may be developed as part of the project kick-off meeting or a speciﬁc planning meeting. Attendees may include the project manager, selected project team members, key stakeholders, or team members who are responsible to manage the risk management process on the project.",['conducting risk management' 'risk management activities' 'risk management plan' 'risk management process' 'manage risk management' ],"risk management plan, identify risks, project management plan, project documents, procurement documentation, expert judgment, data gathering, data analysis, interpersonal and team skills, prompt lists, meetings, risk register, risk report, project documents updates, perform qualitative risk analysis, project management plan, project documents, enterprise environmental factors, organizational process assets, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, project management plan, project documents, data analysis, audits, meetings, change requests, project management plan updates, risk register, risk report, perform qualitative risk analysis, project management plan, project documents, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, organizational process assets, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, project documents updates, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, work performance information, change requests",conducted meeting,"meeting, member, risk, management, key, project, regulator, attendee, team, disagreement",[]
risk management plan,facet of,projects,the risk management plan is a component of the project management plan that describes how risk management activities will be structured and performed the risk management plan may include some or all of the following elements risk strategy describes the general approach to managing risk on this project methodology denes the specic approaches tools and data sources that will be used to perform risk management on the project roles and responsibilities denes the lead support and risk management team members for each type of activity described in the risk management plan and claries their responsibilities funding identies the funds needed to perform activities related to project risk management establishes protocols for the application of contingency and management reserves timing denes when and how often the project risk management processes will be performed throughout the project life cycle and establishes risk management activities for inclusion into the project schedule risk categories provide a means for grouping individual project risks a common way to structure risk categories is with a risk breakdown structure rbs which is a hierarchical representation of potential sources of risk see example in figure an rbs helps the project team consider the full range of sources from which individual project risks may arise this can be useful when identifying risks or when categorizing identied risks the organization may have a generic rbs to be used for all projects or there may be several rbs frameworks for different types of projects or the project may develop a tailored rbs where an rbs is not used an organization may use a custom risk categorization framework which may take the form of a simple list of categories or a structure based on project objectivesrbs level all sources of project risk technical risk management risk commercial risk external risk rbs level rbs level scope definition requirements definition estimates assumptions and constraints technical processes technology technical interfaces etc project management programportfolio management operations management organization resourcing communication etc contractual terms and conditions internal procurement suppliers and vendors subcontracts clientcustomer stability partnerships and joint ventures etc legislation exchange rates sitefacilities environmentalweather competition regulatory etcu stakeholder risk appetite the risk appetites of key stakeholders on the project are recorded in the risk management plan as they inform the details of the plan risk management process in particular stakeholder risk appetite should be expressed as measurable risk thresholds around each project objective these thresholds will determine the acceptable level of overall project risk exposure and they are also used to inform the denitions of probability and impacts to be used when assessing and prioritizing individual project risks definitions of risk probability and impacts denitions of risk probability and impact levels are specic to the project context and reect the risk appetite and thresholds of the organization and key stakeholders the project may generate specic denitions of probability and impact levels or it may start with general denitions provided by the organization the number of levels reects the degree of detail required for the project risk management process with more levels used for a more detailed risk approach typically ve levels and fewer for a simple process usually three table provides an example of denitions of probability and impacts against three project objectives these scales can be used to evaluate both threats and opportunities by interpreting the impact denitions as negative for threats delay additional cost and performance shortfall and positive for opportunities reduced time or cost and performance enhancement table example of definitions for probability and impacts scale probability time cost quality impact on project objectives very significant impact on overall functionality significant impact on overall functionality some impact in key functional areas minor impact on overall functionality minor impact on secondary functions no change in functionality very high high medium low very low nil months months months weeks week no change m mm km kk k no changeu probability and impact matrix described in section prioritization rules may be specied by the organization in advance of the project and be included in organizational process assets or they may be tailored to the specic project opportunities and threats are represented in a common probability and impact matrix using positive denitions of impact for opportunities and negative impact denitions for threats descriptive terms such as very high high medium low and very low or numeric values can be used for probability and impact where numeric values are used these can be multiplied to give a probabilityimpact score for each risk which allows the relative priority of individual risks to be evaluated within each priority level an example probability and impact matrix is presented in figure which also shows a possible numeric risk scoring scheme reporting formats reporting formats dene how the outcomes of the project risk management process will be documented analyzed and communicated this section of the risk management plan describes the content and format of the risk register and the risk report as well as any other required outputs from the project risk management processes tracking tracking documents how risk activities will be recorded and how risk management processes will be audited probability probability very low very high high medium low very low very high high medium low very low low moderate high very high threats very low low moderate high very high opportunities negative impact,The risk management plan is a component of the project management plan. It describes how risk management activities will be structured and performed. A common way to structure risk categories is with a risk breakdown structure (RBS),['managing risk project' 'project risk management' 'risk project methodology' 'describes risk management' 'risk management activities' ],"identify risks, project management plan, project documents, procurement documentation, enterprise environmental factors, organizational process assets, expert judgment, data gathering, data analysis, interpersonal and team skills, prompt lists, meetings, risk register, risk report, perform qualitative risk analysis, project management plan, project documents, enterprise environmental factors, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, organizational process assets, expert judgment, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, expert judgment, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, monitor risks, project management plan, project documents, data analysis, audits, meetings, change requests, project management plan updates",affect plan,"risk, impact, low, management, high, project, probability, rbs, denition, level","['https://i.ibb.co/FxtzrLk/page-12.png', 'https://i.ibb.co/3kQ7Fn3/page-14.png']"
identify risks,studied by,risk management,identify risks is the process of identifying individual project risks as well as sources of overall project risk and documenting their characteristics the key benet of this process is the documentation of existing individual project risks and the sources of overall project risk it also brings together information so the project team can respond appropriately to identied risks this process is performed throughout the project the inputs tools and techniques and outputs of the process are depicted in figure figure depicts the data ow diagram for the process figure identify risks inputs tools techniques and outputs tools techniques inputs outputs expert judgment data gathering brainstorming checklists interviews data analysis root cause analysis assumption and constraint analysis swot analysis document analysis interpersonal and team skills facilitation prompt lists meetings project management plan requirements management plan schedule management plan cost management plan quality management plan resource management plan risk management plan scope baseline schedule baseline cost baseline project documents assumption log cost estimates duration estimates issue log lessons learned register requirements documentation resource requirements stakeholder register agreements procurement documentation enterprise environmental factors organizational process assets risk register risk report project documents updates assumption log issue log lessons learned register identify risks project charter plan procurement management project management plan requirements management plan schedule management plan cost management plan resource management plan quality management plan risk management plan scope baseline schedule baseline cost baseline project documents assumption log cost estimates duration estimates issue log lessons learned register requirements documentation resource requirements stakeholder register procurement documentation conduct procurements agreements project management plan project documents project documents identify risks enterprise organization enterprise environmental factors organizational process assets risk register risk report project documents updates assumption log issue log lessons learned registeridentify risks considers both individual project risks and sources of overall project risk participants in risk identication activities may include the following project manager project team members project risk specialist if assigned customers subject matter experts from outside the project team end users other project managers operations managers stakeholders and risk management experts within the organization while these personnel are often key participants for risk identication all project stakeholders should be encouraged to identify individual project risks it is particularly important to involve the project team so they can develop and maintain a sense of ownership and responsibility for identied individual project risks the level of overall project risk and associated risk response actions when describing and recording individual project risks a consistent format should be used for risk statements to ensure that each risk is understood clearly and unambiguously in order to support effective analysis and risk response development risk owners for individual project risks may be nominated as part of the identify risks process and will be conrmed during the perform qualitative risk analysis process preliminary risk responses may also be identied and recorded and will be reviewed and conrmed as part of the plan risk responses process identify risks is an iterative process since new individual project risks may emerge as the project progresses through its life cycle and the level of overall project risk will also change the frequency of iteration and participation in each risk identication cycle will vary by situation and this will be dened in the risk management plan,"Identify Risks is the process of identifying individual project risks as well as sources of overall project risk. It also brings together information so the project team can respond appropriately to identiﬁed risks. This process is performed throughout the project. The inputs, tools and techniques, and outputs are depicted in Figure 11-6.",['identify risks project' 'project risk documenting' 'project risk associated' 'project risk participants' 'project risks level' ],"organizational process assets, meetings, risk register, risk report, perform qualitative risk analysis, project management plan, project documents updates, perform quantitative risk analysis, project documents, data analysis, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, expert judgment, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, change requests, monitor risks, project documents, audits, change requests, project management plan updates",remaining risk,"risk, project, management, plan, log, identify, documentation, document, requirement, baseline","['https://i.ibb.co/GnHt0Yx/page-16.png', 'https://i.ibb.co/nMLPZfm/page-15.png']"
project management plan,has part,project risk,requirements management plan described in section the requirements management plan may indicate project objectives that are particularly at risk schedule management plan described in section the schedule management plan may identify areas that are subject to uncertainty or ambiguity cost management plan described in section the cost management plan may identify areas that are subject to uncertainty or ambiguity quality management plan described in section the quality management plan may identify areas that are subject to uncertainty or ambiguity or where key assumptions have been made that might give rise to risk resource management plan described in section the resource management plan may identify areas that are subject to uncertainty or ambiguity or where key assumptions have been made that might give rise to risku risk management plan described in section the risk management plan provides information on riskrelated roles and responsibilities indicates how risk management activities are included in the budget and schedule and describes categories of risk which may be expressed as a risk breakdown structure figure scope baseline described in section the scope baseline includes deliverables and criteria for their acceptance some of which might give rise to risk it also contains the wbs which can be used as a framework to structure risk identication techniques schedule baseline described in section the schedule baseline may be reviewed to identify milestones and deliverable due dates that are subject to uncertainty or ambiguity or where key assumptions have been made that might give rise to risk cost baseline described in section the cost baseline may be reviewed to identify costs or funding requirements that are subject to uncertainty or ambiguity or where key assumptions have been made that might give rise to risk," requirements management plan may indicate project objectives that are particularly at risk. Risk management plan describes categories of risk, which may be expressed as a risk breakdown structure (Figure 11-4)",['requirements management plan' 'risk management plan' 'management plan identify' 'risk resource management' 'resource management plan' ],"meetings, risk management plan, identify risks, project management plan, project documents, prompt lists, meetings, risk register, perform qualitative risk analysis, project management plan, project documents, data analysis, meetings, project documents updates, perform quantitative risk analysis, project documents, data analysis, plan risk responses, project management plan, project documents, strategies for threats, strategies for overall project risk, data analysis, decision making, project documents updates, implement risk responses, project management plan, project documents, project documents updates, audits, project documents, procurement documentation, data gathering, data analysis, interpersonal and team skills, meetings, risk register, project documents updates, project management plan, project documents, enterprise environmental factors, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, project management plan, project documents, data gathering, data analysis, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, interpersonal and team skills, project documents updates, project management plan, project documents, data analysis, audits, meetings, change requests, project documents, data analysis, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, interpersonal and team skills, strategies for threats, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, change requests, project documents updates, monitor risks, project documents, data analysis, audits, meetings, change requests, project management plan updates, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, organizational process assets, strategies for threats, strategies for opportunities, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, project management information system (pmis), change requests, project documents updates, project documents, data analysis, audits, meetings, change requests, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, monitor risks, project management plan, project documents, data analysis, audits, meetings, change requests, project documents, organizational process assets, project management information system (pmis), change requests, project documents updates, monitor risks, project documents, data analysis, audits, meetings, change requests, project management plan updates",affect plan,"management, ambiguity, subject, plan, rise, baseline, uncertainty, section, identify, risk",[]
project ocuments,part of,project life cycle,project documents that can be considered as inputs for this process include but are not limited to assumption log described in section assumptions and constraints recorded in the assumption log may give rise to individual project risks and may also inuence the level of overall project risk cost estimates described in section cost estimates provide quantitative assessments of project costs ideally expressed as a range indicating the degree of risk where a structured review of the documents may indicate that the current estimate is insufcient and poses a risk to the project duration estimates described in section duration estimates provide quantitative assessments of project durations ideally expressed as a range indicating the degree of risk where a structured review of the documents may indicate that the current estimate is insufcient and poses a risk to the project issue log described in section issues recorded in the issue log may give rise to individual project risks and may also inuence the level of overall project risk lessons learned register described in section lessons learned about risk identied from earlier phases of the project are reviewed to determine whether similar risks might recur during the remainder of the project requirements documentation described in section requirements documentation lists the project requirements and allows the team to identify those that could be at risku resource requirements described in section resource requirements provide quantitative assessments of project resource requirements ideally expressed as a range indicating the degree of risk where a structured review of the documents may indicate that the current estimate is insufcient and poses a risk to the project stakeholder register described in section the stakeholder register indicates which individuals or groups might participate in identifying risks to the project it also details those individuals who are available to act as risk owners,"Project documents that can be considered as inputs for this process include but are not limited to: Assumptions and constraints recorded in the assumption log may give rise to individual project risks. Cost estimates provide quantitative assessments of project costs, ideally expressed as a range, indicating the degree of risk.",['project duration estimates' 'risk project duration' 'assessments project durations' 'project durations ideally' 'duration estimates provide' ],"expert judgment, data analysis, meetings, risk management plan, project documents, procurement documentation, expert judgment, data gathering, data analysis, interpersonal and team skills, risk register, risk report, project documents updates, project documents, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, project documents, expert judgment, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project documents, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, decision making, project management plan updates, project documents updates, project management plan, project documents, project documents updates, project documents, data analysis, meetings, work performance information, procurement documentation, expert judgment, data gathering, data analysis, interpersonal and team skills, prompt lists, meetings, risk register, risk report, project documents updates, perform qualitative risk analysis, project management plan, project documents, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, enterprise environmental factors, organizational process assets, expert judgment, data gathering, data analysis, interpersonal and team skills, risk categorization, data representation, meetings, project documents updates, perform quantitative risk analysis, project management plan, project documents, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, project management plan, project documents, organizational process assets, interpersonal and team skills, project documents updates, project management plan, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, enterprise environmental factors, data gathering, interpersonal and team skills, representations of uncertainty, data analysis, project documents updates, plan risk responses, project management plan, project documents, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, change requests, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, monitor risks, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, enterprise environmental factors, organizational process assets, data gathering, interpersonal and team skills, strategies for threats, strategies for opportunities, contingent response strategies, strategies for overall project risk, data analysis, decision making, project management plan updates, project documents updates, implement risk responses, project management plan, project documents, organizational process assets, interpersonal and team skills, project management information system (pmis), change requests, project documents updates, monitor risks, project management plan, project documents, work performance reports, data analysis, audits, meetings, work performance information, change requests, project management plan updates, organizational process assets, interpersonal and team skills, project management information system (pmis), project documents updates, project documents, data analysis, audits, meetings, work performance information, change requests, project management plan updates, data analysis, audits, meetings, work performance information, change requests, project management plan updates",project risk,"estimate, indicate, project, requirement, risk, section, insufcient, ideally, express, log",[]
